id,interview,comment
"R01-1","模擬・製造業排程員","【模擬發言】我支持把通過安全審查的核電納入選項，但想看完工時程、停機備援與替代方案的同尺度比較。"
"R01-2","模擬・製造業排程員","【模擬發言】若整備成本或工期超出公開門檻，我願意重新評估，不把支持當成無條件授權。"
"R02-1","模擬・減碳倡議者","【模擬發言】我希望比較重啟與節能、儲能和再生能源在相同期間的減排效果，不能只比較發電時的排放。"
"R02-2","模擬・減碳倡議者","【模擬發言】若核電重啟擠壓更快減碳的投資，我會要求重新排優先順序。"
"R03-1","模擬・用電商家","【模擬發言】我在意電費可負擔，支持評估既有機組，但不能把過去的平均成本直接當成未來重啟成本。"
"R03-2","模擬・用電商家","【模擬發言】請公開整備、燃料、保險與核廢管理假設，用區間而非單一數字溝通。"
"R04-1","模擬・能源韌性研究者","【模擬發言】我傾向保留多元低碳供電選項，也要求比較集中設施故障、燃料供應與電網修復能力。"
"R04-2","模擬・能源韌性研究者","【模擬發言】核電、燃氣、再生能源與需求管理各有風險，不能讓某一種技術免於檢驗。"
"R05-1","模擬・鄰近居民","【模擬發言】我目前反對重啟。生活在廠址附近的人需要理解事故應變、撤離交通與照顧者的負擔，不能只收到說明簡報。"
"R05-2","模擬・鄰近居民","【模擬發言】若有獨立複核、可理解的風險資訊與地方實質參與，我願意繼續對話，但不預先承諾改變立場。"
"R06-1","模擬・核廢關注者","【模擬發言】我反對在核廢長期責任不清楚時增加負擔。乾式貯存不是最終處置，選址與受影響者權利要公開討論。"
"R06-2","模擬・核廢關注者","【模擬發言】既有核廢無論重不重啟都必須管理，不能把反對重啟誤寫成不用處理核廢。"
"R07-1","模擬・青年預算監督者","【模擬發言】我擔心重啟把不確定成本與長期照顧義務轉給下一代，所以目前主張先投入節能與電網。"
"R07-2","模擬・青年預算監督者","【模擬發言】我要看相同折現率與風險假設下的替代方案，也接受替代方案並非零成本。"
"R08-1","模擬・分散能源使用者","【模擬發言】我傾向不用重啟核電，優先降低尖峰需求與強化分散供電；這些方案也應公開土地、設備和可靠度限制。"
"R08-2","模擬・分散能源使用者","【模擬發言】若替代路徑無法在期限內提供相同可靠度，我希望承認缺口，再討論補救。"
"R09-1","模擬・尚未決定的家長","【模擬發言】我尚未決定，想先知道哪一份文件證明什麼。完成計畫審查與實際可以裝填燃料，不能用同一句話帶過。"
"R09-2","模擬・尚未決定的家長","【模擬發言】我需要支持與反對方共同承認的事實清單，以及仍有爭議的假設。"
"R10-1","模擬・照顧服務工作者","【模擬發言】不管能源選哪條路，醫療照護機構的備援、長者與障礙者撤離，都應列成可查核的配套。"
"R10-2","模擬・照顧服務工作者","【模擬發言】參與不能只靠晚上線上填表，要有交通、口譯與照顧支持；這是我的提議，不是現行承諾。"
"R11-1","模擬・工程品質關注者","【模擬發言】我只接受逐機組評估。支持研議不等於預先認定設備合格，反對也不能略過具體審查證據。"
"R11-2","模擬・工程品質關注者","【模擬發言】請列出老化與耐震問題、改善期限、查證方式與未通過就停止的條件。"
"R12-1","模擬・地方議題主持人","【模擬發言】我在意提問最後有沒有得到回覆。多數支持某個條件，不代表大家同意整體重啟。"
"R12-2","模擬・地方議題主持人","【模擬發言】希望建立公開問題清單，分成可回答、待補資料、價值分歧三類，每項都保留不同意見。"
